seed,policy,ep_idx,friction,inertia,noise,reward,violation
0,EpsilonGreedy,27,0.7,0.8,0.07108496710962903,-0.10115848828720153,0
0,EpsilonGreedy,28,1.0,0.8,0.05033883316939512,-0.12466615416912738,0
0,EpsilonGreedy,29,0.7,0.8,0.07156387365986244,-0.12032195313545842,0
0,LinUCB,0,0.7,1.0,0.06154619216323706,-0.1198236646006752,0
0,LinUCB,1,1.0,1.0,0.0560830804568765,-0.2246393621612959,0
0,LinUCB,2,1.0,0.8,0.08641427033084204,-0.17563339458041058,0
0,LinUCB,3,0.4,2.0,0.06450726596047784,-0.24171719773500633,1
0,LinUCB,4,0.7,1.0,0.06496970690294569,-0.12404810841619417,0
0,LinUCB,5,1.0,2.0,0.050387751304575394,-0.34447117034067964,1
0,LinUCB,6,0.7,2.0,0.08226021519210205,-0.3342597810226305,1
0,LinUCB,7,1.0,1.0,0.07507499147026182,-0.22647457539089055,0
0,LinUCB,8,1.0,0.8,0.08446942813027605,-0.17392620266895714,0
0,LinUCB,9,0.7,2.0,0.0628953801152356,-0.34244912685690726,1
0,LinUCB,10,1.0,1.0,0.06402736967522103,-0.22175779843327853,0
0,LinUCB,11,0.7,2.0,0.08745118054519381,-0.34008073001495687,1
0,LinUCB,12,0.7,1.0,0.07313422658356354,-0.12045242494371805,0
0,LinUCB,13,1.0,2.0,0.06896581026143418,-0.34461386147940687,1
0,LinUCB,14,0.4,1.0,0.06132902221593049,-0.11850447797636851,0
0,LinUCB,15,0.7,0.8,0.0549016167730361,-0.1256662718765787,0
0,LinUCB,16,1.0,2.0,0.08590579433436088,-0.35268747265505007,1
0,LinUCB,17,0.7,0.8,0.07918750940328462,-0.12461214663593946,0
0,LinUCB,18,0.7,0.8,0.05797868584058457,-0.12403782930225599,0
0,LinUCB,19,0.4,2.0,0.0760906472546053,-0.23754514694785323,1
0,LinUCB,20,0.4,1.0,0.05843248841072939,-0.11677432158952425,0
0,LinUCB,21,0.4,1.0,0.08150331379436983,-0.118920844172853,0
0,LinUCB,22,1.0,0.8,0.08818960202900075,-0.1713480907634503,0
0,LinUCB,23,1.0,0.8,0.056250277096177366,-0.145116210158577,0
0,LinUCB,24,0.7,1.0,0.05610868180693438,-0.1194683901656138,0
0,LinUCB,25,0.7,2.0,0.053436959348887,-0.34158747937895556,1
0,LinUCB,26,0.7,1.0,0.07521439148819281,-0.1205383443188221,0
0,LinUCB,27,0.7,0.8,0.07108496710962903,-0.12142947109293056,0
0,LinUCB,28,1.0,0.8,0.05033883316939512,-0.1489393674658202,0
0,LinUCB,29,0.7,0.8,0.07156387365986244,-0.12405806408164886,0
0,NeuralBandit,0,0.7,1.0,0.06154619216323706,-0.12034221851712731,0
0,NeuralBandit,1,1.0,1.0,0.0560830804568765,-0.2957663755470807,1
0,NeuralBandit,2,1.0,0.8,0.08641427033084204,-0.1321789812877698,0
0,NeuralBandit,3,0.4,2.0,0.06450726596047784,-0.27800437092533736,0
0,NeuralBandit,4,0.7,1.0,0.06496970690294569,-0.18738265571385784,0
0,NeuralBandit,5,1.0,2.0,0.050387751304575394,-0.32112980370309097,1
0,NeuralBandit,6,0.7,2.0,0.08226021519210205,-0.24100102141113078,1
0,NeuralBandit,7,1.0,1.0,0.07507499147026182,-0.23120353957648787,0
0,NeuralBandit,8,1.0,0.8,0.08446942813027605,-0.2048871771147374,0
0,NeuralBandit,9,0.7,2.0,0.0628953801152356,-0.34583807677748973,1
0,NeuralBandit,10,1.0,1.0,0.06402736967522103,-0.29559974894244634,1
0,NeuralBandit,11,0.7,2.0,0.08745118054519381,-0.3457359679702223,1
0,NeuralBandit,12,0.7,1.0,0.07313422658356354,-0.23733467327989755,0
0,NeuralBandit,13,1.0,2.0,0.06896581026143418,-0.4936705572205192,1
0,NeuralBandit,14,0.4,1.0,0.06132902221593049,-0.13925199402045557,0
0,NeuralBandit,15,0.7,0.8,0.0549016167730361,-0.13914323650120447,0
0,NeuralBandit,16,1.0,2.0,0.08590579433436088,-0.3244700001878931,1
0,NeuralBandit,17,0.7,0.8,0.07918750940328462,-0.22649729904771113,1
0,NeuralBandit,18,0.7,0.8,0.05797868584058457,-0.10083098753056055,0
0,NeuralBandit,19,0.4,2.0,0.0760906472546053,-0.2196986609513383,0
0,NeuralBandit,20,0.4,1.0,0.05843248841072939,-0.23181007508075174,1
0,NeuralBandit,21,0.4,1.0,0.08150331379436983,-0.1501071911386446,0
0,NeuralBandit,22,1.0,0.8,0.08818960202900075,-0.2325400281671184,0
0,NeuralBandit,23,1.0,0.8,0.056250277096177366,-0.25790358164729005,1
0,NeuralBandit,24,0.7,1.0,0.05610868180693438,-0.21527529760436437,1
0,NeuralBandit,25,0.7,2.0,0.053436959348887,-0.2576191708242827,1
0,NeuralBandit,26,0.7,1.0,0.07521439148819281,-0.1422850209023738,0
0,NeuralBandit,27,0.7,0.8,0.07108496710962903,-0.2246443459887596,1
0,NeuralBandit,28,1.0,0.8,0.05033883316939512,-0.20677630942045375,0
0,NeuralBandit,29,0.7,0.8,0.07156387365986244,-0.1163780253750217,0
0,Oracle,0,0.7,1.0,0.06154619216323706,-0.11904259088402455,0
0,Oracle,1,1.0,1.0,0.0560830804568765,-0.15307687219504243,0
